venue_name,domain,subject_area,ranking_source,raw_metric,prestige_label,prestige_score
Journal of Legal Education,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,271,Low,1
World Trade Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,389,Low,1
Berkeley Journal of Criminal Law [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,293,Low,1
Journal of Health Care Law & Policy,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,340,Low,1
Review of Litigation,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,383,Low,1
European Journal of International Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,261,Low,1
Michigan Journal of Gender & Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,302,Low,1
Cardozo Journal of Conflict Resolution,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,257,Low,1
Journal of the Copyright Society of the U.S.A.,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,307,Low,1
American Journal of Law & Medicine,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,266,Low,1
"Notre Dame Journal of Law, Ethics & Public Policy",Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,272,Low,1
UC Davis Business Law Journal [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,368,Low,1
Wake Forest Journal of Law and Policy,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,343,Low,1
Harvard Latin American Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,338,Low,1
Emory Law Journal Online [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,258,Low,1
Modern Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,393,Low,1
Journal of Law & Economics,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,260,Low,1
University of Miami Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,254,Low,1
Case Western Reserve Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,251,Low,1
Santa Clara Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,273,Low,1
Journal of Law & Education,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,367,Low,1
Connecticut Public Interest Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,337,Low,1
Ohio State Business Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,298,Low,1
Delaware Journal of Corporate Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,387,Low,1
University of Hawaii Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,394,Low,1
Journal of Technology Law & Policy,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,166,Medium,2
Tax Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,169,Medium,2
Loyola Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,126,Medium,2
San Diego Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,177,Medium,2
Nebraska Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,148,Medium,2
Ecology Law Quarterly,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,186,Medium,2
New Mexico Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,195,Medium,2
Columbia Journal of Law & the Arts,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,132,Medium,2
Boston University Journal of Science & Technology Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,162,Medium,2
Richmond Journal of Law and Technology [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,229,Medium,2
New York University Journal of Legislation and Public Policy,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,140,Medium,2
Journal of Empirical Legal Studies,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,184,Medium,2
American Bankruptcy Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,133,Medium,2
Georgetown Immigration Law Journal,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,158,Medium,2
Northwestern Journal of Technology and Intellectual Property [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,211,Medium,2
Virginia Tax Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,213,Medium,2
Annals of Health Law and Life Sciences,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,231,Medium,2
Georgetown Journal of Law & Public Policy,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,122,Medium,2
Vermont Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,210,Medium,2
Arkansas Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,226,Medium,2
Vanderbilt Journal of Transnational Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,187,Medium,2
Cornell Law Review Online [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,167,Medium,2
Hofstra Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,153,Medium,2
University of Illinois Law Review Online [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,192,Medium,2
Cleveland State Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,164,Medium,2
Jurimetrics,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,134,Medium,2
South Carolina Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,137,Medium,2
George Washington Law Review Arguendo [online],Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,236,Medium,2
Columbia Journal of Transnational Law,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,198,Medium,2
Widener Law Review,Law,Law,Washington & Lee Law Journal Rankings 2024 – Combined Score,219,Medium,2
United Nations,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
International Monetary Fund,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
World Bank,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
World Trade Organization,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
World Health Organization,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
UNESCO,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
International Labour Organization,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Organisation for Economic Co-operation and Development,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
European Union,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
African Union,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
ASEAN Secretariat,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Organization of American States,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
North Atlantic Treaty Organization,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Food and Agriculture Organization,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
United Nations Development Programme,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
U.S. Census Bureau,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Office for National Statistics,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Statistics Canada,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Australian Bureau of Statistics,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Instituto Brasileiro de Geografia e Estatística (IBGE),General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
National Bureau of Statistics of China,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Statistics Bureau of Japan,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Instituto Nacional de Estadística y Geografía (INEGI),General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Instituto Nacional de Estadística y Censos (INDEC),General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Statistics South Africa,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Nigerian National Bureau of Statistics,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Statistics New Zealand (Stats NZ),General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Statistics Netherlands (CBS),General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Saudi General Authority for Statistics,General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Statistics Korea (KOSTAT),General,General,Manual Open Source Curation 2024,Tier 4,Elite,4
Reuters,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Associated Press (AP),General,General,Manual Open Source Curation 2024,Tier 3,High,3
Agence France-Presse (AFP),General,General,Manual Open Source Curation 2024,Tier 3,High,3
BBC News,General,General,Manual Open Source Curation 2024,Tier 3,High,3
CNN,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Al Jazeera English,General,General,Manual Open Source Curation 2024,Tier 3,High,3
The New York Times,General,General,Manual Open Source Curation 2024,Tier 3,High,3
The Washington Post,General,General,Manual Open Source Curation 2024,Tier 3,High,3
The Guardian,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Le Monde,General,General,Manual Open Source Curation 2024,Tier 3,High,3
El País,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Süddeutsche Zeitung,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Frankfurter Allgemeine Zeitung,General,General,Manual Open Source Curation 2024,Tier 3,High,3
The Times (UK),General,General,Manual Open Source Curation 2024,Tier 3,High,3
The Telegraph,General,General,Manual Open Source Curation 2024,Tier 3,High,3
The Globe and Mail,General,General,Manual Open Source Curation 2024,Tier 3,High,3
The Sydney Morning Herald,General,General,Manual Open Source Curation 2024,Tier 3,High,3
The Hindu,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Asahi Shimbun,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Yomiuri Shimbun,General,General,Manual Open Source Curation 2024,Tier 3,High,3
South China Morning Post,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Folha de S.Paulo,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Clarín,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Deutsche Welle (DW),General,General,Manual Open Source Curation 2024,Tier 3,High,3
NHK World,General,General,Manual Open Source Curation 2024,Tier 3,High,3
CBC/Radio-Canada,General,General,Manual Open Source Curation 2024,Tier 3,High,3
France 24,General,General,Manual Open Source Curation 2024,Tier 3,High,3
TASS,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Xinhua News Agency,General,General,Manual Open Source Curation 2024,Tier 3,High,3
TRT World,General,General,Manual Open Source Curation 2024,Tier 3,High,3
Politico,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Vox,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
BuzzFeed News,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Vice News,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Axios,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
ProPublica,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
The Intercept,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Business Insider,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Quartz,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
HuffPost,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
The Daily Beast,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Slate,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Bellingcat,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Mediapart,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
OpenDemocracy,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
The Marshall Project,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Rest of World,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Mail & Guardian,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
OjoPúblico,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
La Silla Vacía,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Crikey,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
The Wire (India),General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Scroll.in,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
ThePrint,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Al-Monitor,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Eurasianet,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
The Africa Report,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Mongabay,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Full Fact,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
Global Voices,General,General,Manual Open Source Curation 2024,Tier 2,Medium,2
The Onion,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Beaverton,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Daily Mash,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Le Gorafi,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Der Postillon,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
De Speld,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
El Mundo Today,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Waterford Whispers News,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Shovel,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Betoota Advocate,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
NewsThump,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Spoof,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Faking News,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Sensacionalista,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
El Deforma,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Borowitz Report,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Hard Times,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Poke,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Chaser,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Al-Hudood,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Private Eye,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Daily Bonnet,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Daily Squib,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Babylon Bee,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
ClickHole,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Reductress,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
El Koshary Today,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Civilian,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
Daily Mash Australia,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
The Rochdale Herald,General,General,Manual Open Source Curation 2024,Tier 1,Low,1
